Environment:
	Python: 3.9.7
	PyTorch: 1.10.0
	Torchvision: 0.11.1
	CUDA: 11.3
	CUDNN: 8200
	NumPy: 1.21.2
	PIL: 8.3.2
Args:
	algorithm: InterRMMMD
	checkpoint_freq: None
	data_dir: ./domainbed/data
	dataset: PACS
	gpu_id: 0
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	hyper_bias: 1.0
	output_dir: ./domainbed/sweep-pacs_01_09_ours/db7faca7099c6b13ed8af1e152ee5ac5
	save_model_every_checkpoint: False
	seed: 856538498
	skip_model_save: False
	steps: None
	task: domain_adaptation
	test_envs: [1, 2]
	trial_seed: 0
	uda_holdout_fraction: 0.2
HParams:
	batch_size: 32
	bias: 2
	class_balanced: False
	data_augmentation: True
	int_lambda: 0.001
	int_reg: 0.01
	kl_lambda: 0.5
	lr: 5e-05
	mlp_depth: 4
	mlp_dropout: 0.1
	mlp_width: 512
	nonlinear_classifier: False
	prior_type: conditional
	resnet18: False
	resnet_dropout: 0.0
	target_lambda: 0.1
	weight_decay: 0.0
/home/mengyue/.conda/envs/mengyue/lib/python3.9/site-packages/torch/nn/functional.py:1806: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
env0_in_acc   env0_out_acc  env0_uda_acc  env1_in_acc   env1_out_acc  env1_uda_acc  env2_in_acc   env2_out_acc  env3_in_acc   env3_out_acc  epoch         loss          mem_gb        nll           penalty       step          step_time    
0.1763270287  0.1638141809  0.1612903226  0.1386666667  0.1431623932  0.2727272727  0.2052238806  0.2185628743  0.0938295165  0.1019108280  0.0000000000  7.3374462128  10.562909603  7.3374462128  7.3374462128  0             1.8961837292 
0.4954240390  0.4694376528  0.3655913978  0.3493333333  0.3525641026  0.5000000000  0.5223880597  0.5179640719  0.5050890585  0.5133757962  11.940298507  4.5242050076  10.891741752  4.5242050076  4.5242050076  100           0.2005226064 
0.8377059182  0.7995110024  0.7096774194  0.6426666667  0.6559829060  0.8636363636  0.8059701493  0.8173652695  0.8136132316  0.8280254777  23.880597014  2.1909062016  10.891741752  2.1909062016  2.1909062016  200           0.2034894705 
0.9176327029  0.8801955990  0.7096774194  0.6400000000  0.6538461538  0.8939393939  0.8843283582  0.8862275449  0.9150763359  0.9082802548  35.820895522  1.3722063577  10.891741752  1.3722063577  1.3722063577  300           0.1961596298 
0.9572910311  0.9242053790  0.7096774194  0.6960000000  0.6987179487  0.9242424242  0.9291044776  0.9281437126  0.9386132316  0.9210191083  47.761194029  1.0935225683  10.891741752  1.0935225683  1.0935225683  400           0.2112515020 
0.9780353874  0.9242053790  0.7419354839  0.7813333333  0.7735042735  0.9242424242  0.9328358209  0.9311377246  0.9713740458  0.9350318471  59.701492537  0.9250908959  10.891741752  0.9250908959  0.9250908959  500           0.1927367663 
0.9798657718  0.9266503667  0.7849462366  0.8026666667  0.7991452991  0.9393939394  0.9104477612  0.9161676647  0.9777353690  0.9375796178  71.641791044  0.7965045476  10.891741752  0.7965045476  0.7965045476  600           0.2030695033 
0.9847467968  0.9266503667  0.7526881720  0.7440000000  0.7457264957  0.9242424242  0.9291044776  0.9281437126  0.9736005089  0.9324840764  83.582089552  0.7657652235  10.891741752  0.7657652235  0.7657652235  700           0.1936969399 
0.9670530811  0.9144254279  0.7741935484  0.7626666667  0.7649572650  0.8787878788  0.9067164179  0.9011976048  0.9732824427  0.9299363057  95.522388059  0.6992660660  10.891741752  0.6992660660  0.6992660660  800           0.2034503460 
0.9792556437  0.9144254279  0.8064516129  0.7893333333  0.7927350427  0.9393939394  0.9365671642  0.9371257485  0.9888676845  0.9439490446  107.46268656  0.6668933278  10.891741752  0.6668933278  0.6668933278  900           0.2036166954 
